Timestep Single Double
1 -3.81419063 -3.814190509
2 -3.81335974 -3.813360234
3 -3.79912305 -3.799123361
4 -3.77368808 -3.773688146
5 -3.73808837 -3.738088368
6 -3.69304705 -3.693047137
7 -3.63926196 -3.63926233
8 -3.57749128 -3.57749154
9 -3.50856709 -3.508567221
10 -3.4333868 -3.433387041
11 -3.35289502 -3.352895713
12 -3.26806474 -3.268065142
13 -3.17987609 -3.179876624
14 -3.08930683 -3.089307524
15 -2.99732304 -2.997323839
16 -2.90487838 -2.904878862
17 -2.8129158 -2.812916982
18 -2.72238016 -2.722380526
19 -2.63421607 -2.634216868
20 -2.54938197 -2.549382872
21 -2.46884298 -2.468844181
22 -2.39356709 -2.39356785
23 -2.324507 -2.324508019
24 -2.26258445 -2.262585597
25 -2.20866275 -2.208663924
26 -2.16352153 -2.163522902
27 -2.12783265 -2.127834156
28 -2.10213757 -2.102139351
29 -2.08683133 -2.086833074
30 -2.08214903 -2.082150978
31 -2.08816123 -2.088163266
32 -2.1047709 -2.104773317
33 -2.13171864 -2.131721228
34 -2.16858912 -2.168592149
35 -2.21482563 -2.214829326
36 -2.26974797 -2.269751609
37 -2.33257055 -2.332574752
38 -2.40243053 -2.402435188
39 -2.47840977 -2.478414396
40 -2.55955672 -2.559561556
41 -2.64490676 -2.644912234
42 -2.73349547 -2.733501341
43 -2.82436371 -2.824369549
44 -2.91655731 -2.916563541
45 -3.00912642 -3.00913166
46 -3.10111213 -3.10111744
47 -3.19154811 -3.191553891
48 -3.27945566 -3.27946121
49 -3.36384487 -3.363849831
50 -3.44372487 -3.443729597
51 -3.51812005 -3.518124641
52 -3.5860889 -3.586092568
53 -3.64674258 -3.646745928
54 -3.69927096 -3.699273861
55 -3.74295974 -3.74296207
56 -3.77720833 -3.777209869
57 -3.801543 -3.801543647
58 -3.81562614 -3.815626686
59 -3.81926537 -3.819265574
60 -3.81241441 -3.812413614
61 -3.79517245 -3.795171506
62 -3.76778698 -3.767785399
63 -3.73064375 -3.730642122
64 -3.68426347 -3.684261276
65 -3.62928653 -3.629283819
66 -3.56646061 -3.566457032
67 -3.49661994 -3.496616162
68 -3.42066813 -3.420663635
69 -3.33955169 -3.339547345
70 -3.25424528 -3.25423997
71 -3.16572666 -3.165721434
72 -3.07497191 -3.07496631
73 -2.98294282 -2.982937257
74 -2.89059043 -2.890584495
75 -2.79885578 -2.79885013
76 -2.70868063 -2.708675141
77 -2.6210115 -2.621006178
78 -2.53680396 -2.536799306
79 -2.45702291 -2.457018341
80 -2.38263011 -2.382626445
81 -2.31457376 -2.314570908
82 -2.25376391 -2.253762243
83 -2.20105028 -2.201049683
84 -2.15719485 -2.157195582
85 -2.12284899 -2.122851238
