Timestep,NormalizedN,RadiusX,RadiusY,RadiusZ,RadiusZStd,VelocityZ
1,1,8.1439,8.1945,8.3318,1.9834,-4.8142
2,0.9995,8.2278,8.1438,8.3983,1.9814,-4.8138
3,0.999,8.1715,8.1389,8.3817,1.9764,-4.808
4,0.9985,8.1308,8.0824,8.4345,1.9734,-4.8079
5,0.998,8.0971,8.078,8.4903,1.9716,-4.8117
6,0.998,8.0549,8.053,8.5337,1.9822,-4.8182
7,0.997,8.0115,8.0357,8.5571,1.987,-4.8256
8,0.9965,7.9646,8.0008,8.5585,2.0108,-4.8327
9,0.9955,7.9414,7.9717,8.5763,2.0386,-4.8386
10,0.994,7.9201,7.953,8.6296,2.0545,-4.8424
11,0.993,7.8947,7.9244,8.624,2.0727,-4.8445
12,0.9915,7.8508,7.8817,8.6194,2.0946,-4.8449
13,0.9905,7.8025,7.8244,8.5811,2.113,-4.8428
14,0.99,7.7829,7.7651,8.6006,2.1374,-4.8385
15,0.9875,7.8036,7.743,8.5946,2.1433,-4.8333
16,0.9845,7.8157,7.7357,8.5668,2.1376,-4.8259
17,0.98,7.8372,7.7474,8.574,2.1179,-4.8177
18,0.9765,7.8581,7.7442,8.5366,2.1119,-4.8092
19,0.974,7.8942,7.7446,8.4935,2.111,-4.8003
20,0.9715,7.9272,7.7576,8.4772,2.1085,-4.7904
21,0.9705,7.9595,7.7805,8.4473,2.1111,-4.7794
22,0.9695,8.0111,7.8141,8.4279,2.0999,-4.7688
23,0.97,8.0322,7.8601,8.3934,2.0899,-4.7586
24,0.971,8.0322,7.8878,8.3497,2.0718,-4.7487
25,0.9715,8.0418,7.9209,8.3386,2.0526,-4.7378
26,0.9715,8.0484,7.9452,8.3043,2.0298,-4.7272
27,0.971,8.0614,7.9584,8.2958,1.9937,-4.7162
28,0.971,8.0721,7.9882,8.2727,1.9723,-4.7041
29,0.9715,8.0855,8.0362,8.2532,1.9429,-4.69
30,0.972,8.1295,8.0897,8.2232,1.9165,-4.6746
31,0.9725,8.1674,8.1492,8.1829,1.8944,-4.6588
32,0.9735,8.1979,8.1927,8.15,1.8948,-4.6434
33,0.9735,8.2366,8.2386,8.1125,1.8768,-4.628
34,0.974,8.2713,8.2816,8.0597,1.863,-4.6128
35,0.974,8.2909,8.3218,7.9972,1.8473,-4.5988
36,0.9745,8.2881,8.378,7.9247,1.8233,-4.5866
37,0.9745,8.2818,8.4186,7.8372,1.8025,-4.5761
38,0.9745,8.2781,8.4329,7.7667,1.7774,-4.5677
39,0.9745,8.2631,8.4481,7.696,1.7529,-4.5622
40,0.9745,8.2547,8.4605,7.6426,1.7331,-4.5585
41,0.9745,8.2654,8.4662,7.5826,1.7336,-4.5551
42,0.9745,8.2603,8.4585,7.5395,1.7417,-4.5524
43,0.9745,8.2522,8.4402,7.5131,1.7513,-4.551
44,0.9745,8.2547,8.4095,7.5034,1.7857,-4.5504
45,0.9745,8.264,8.3754,7.5095,1.8094,-4.551
46,0.9745,8.2672,8.351,7.5254,1.8246,-4.5535
47,0.9745,8.2795,8.3359,7.5443,1.8364,-4.5574
48,0.9745,8.2932,8.3193,7.579,1.844,-4.5629
49,0.9745,8.2858,8.2728,7.6399,1.8546,-4.5684
50,0.9745,8.2484,8.2419,7.7262,1.8711,-4.5738
51,0.9745,8.2406,8.2284,7.8374,1.8905,-4.578
52,0.9745,8.2385,8.2184,7.9496,1.9192,-4.5809
53,0.9745,8.2394,8.2139,8.0345,1.9325,-4.5818
54,0.9745,8.2565,8.202,8.1398,1.9502,-4.5805
55,0.9745,8.2905,8.1826,8.2236,1.9729,-4.5771
56,0.974,8.317,8.164,8.3309,1.9928,-4.5715
57,0.9725,8.3236,8.1441,8.4054,1.985,-4.565
58,0.9715,8.3392,8.1599,8.4301,1.9847,-4.5581
59,0.97,8.388,8.1797,8.4472,1.9848,-4.5501
60,0.97,8.4189,8.1874,8.4176,1.9745,-4.5405
61,0.9695,8.4493,8.1955,8.3937,1.9455,-4.5301
62,0.969,8.479,8.2063,8.3749,1.9204,-4.5199
63,0.969,8.487,8.2193,8.3283,1.9063,-4.5095
64,0.9685,8.4913,8.2473,8.2964,1.8891,-4.4992
65,0.9685,8.4998,8.2902,8.2277,1.8709,-4.4881
66,0.969,8.5357,8.3408,8.1642,1.8404,-4.476
67,0.969,8.5712,8.3837,8.1117,1.8135,-4.4631
68,0.9695,8.6014,8.4224,8.0281,1.7985,-4.4505
69,0.9695,8.6217,8.4636,7.9522,1.7782,-4.4364
70,0.9695,8.6511,8.5134,7.9442,1.7599,-4.4236
71,0.9695,8.6798,8.5685,7.9601,1.7358,-4.4117
72,0.9695,8.7214,8.617,7.9897,1.7085,-4.4006
73,0.9695,8.7559,8.6468,7.9018,1.6894,-4.3907
74,0.97,8.7939,8.6637,7.8115,1.6854,-4.3817
75,0.97,8.8131,8.6725,7.7292,1.6688,-4.3741
76,0.97,8.8227,8.6555,7.6626,1.6563,-4.3682
77,0.9695,8.8305,8.6301,7.6137,1.6522,-4.3643
78,0.9695,8.845,8.6193,7.5837,1.6531,-4.3628
